Time,open,high,low,close,volume
2013-04-15 00:00,1.31169,1.3202,1.30019,1.3053,1347056.25586857
2013-04-22 00:00,1.3079,1.30935,1.29615,1.30278,1095483.38444223
2013-04-29 00:00,1.30519,1.32429,1.30321,1.31158,1032737.38438315
2013-05-06 00:00,1.31244,1.31948,1.29356,1.29904,936971.32463903
2013-05-13 00:00,1.29728,1.30295,1.27968,1.28383,1101887.00500721
2013-05-20 00:00,1.28429,1.2998,1.28197,1.29328,1148797.18538819
2013-05-27 00:00,1.29353,1.30621,1.28384,1.29956,1036457.70451253
2013-06-03 00:00,1.29959,1.33062,1.29557,1.3219,1346918.86501275
2013-06-10 00:00,1.31934,1.33907,1.31777,1.3347,1378614.68646273
2013-06-17 00:00,1.33494,1.3417,1.30989,1.31234,1032428.37419809
2013-06-24 00:00,1.30919,1.31514,1.2985,1.30099,983431.163426526
2013-07-01 00:00,1.30163,1.30786,1.28067,1.28307,847964.712964095
2013-07-08 00:00,1.28124,1.32071,1.27556,1.30682,1002254.37374728
2013-07-15 00:00,1.30791,1.31775,1.29936,1.31429,924443.11376071
2013-07-22 00:00,1.31395,1.3297,1.3137,1.3279,938631.264592372
2013-07-29 00:00,1.32874,1.33451,1.31895,1.32808,1578619.83800598
2013-08-05 00:00,1.32841,1.3401,1.32332,1.33416,865759.443756282
2013-08-12 00:00,1.33225,1.33805,1.32059,1.33303,891194.822460383
2013-08-19 00:00,1.33319,1.34526,1.32984,1.33802,988118.662986487
2013-08-26 00:00,1.33856,1.33994,1.31741,1.32211,933338.20382306
2013-09-02 00:00,1.32175,1.32275,1.31049,1.31794,869012.274296992
2013-09-09 00:00,1.31652,1.33253,1.31647,1.32952,853427.194188669
2013-09-16 00:00,1.33607,1.3569,1.33255,1.35279,941462.604321986
2013-09-23 00:00,1.35516,1.3565,1.34623,1.35232,817650.654505305
2013-09-30 00:00,1.34951,1.36464,1.3478,1.35579,879279.434996985
2013-10-07 00:00,1.35652,1.36079,1.34863,1.35471,937840.945319645
2013-10-14 00:00,1.3564,1.37038,1.34739,1.36886,1028491.8552188
2013-10-21 00:00,1.36845,1.3833,1.36514,1.38061,990750.025050834
2013-10-28 00:00,1.38087,1.38179,1.34802,1.34888,1231513.70613009
2013-11-04 00:00,1.3487,1.3548,1.32956,1.33706,1122118.38568845
2013-11-11 00:00,1.33577,1.35063,1.3345,1.34977,1034910.54573957
2013-11-18 00:00,1.34975,1.35786,1.33996,1.3558,1084905.6555018
2013-11-25 00:00,1.3549,1.36224,1.34903,1.35917,964865.205308825
2013-12-02 00:00,1.35906,1.37071,1.35245,1.3707,1238281.6769615
2013-12-09 00:00,1.37159,1.3811,1.36946,1.37455,923338.636622712
2013-12-16 00:00,1.37294,1.38119,1.36254,1.36767,968402.09680552
2013-12-23 00:00,1.36735,1.3894,1.36554,1.37496,478279.752774268
2013-12-30 00:00,1.37579,1.38197,1.35826,1.359,669927.654118098
2014-01-06 00:00,1.35956,1.36876,1.35489,1.3673,1048853.55692177
2014-01-13 00:00,1.36789,1.37,1.35173,1.35422,904849.585976765
2014-01-20 00:00,1.35383,1.37395,1.35081,1.36803,956460.525733881
2014-01-27 00:00,1.36795,1.37167,1.34793,1.34898,1078741.99572032
2014-02-03 00:00,1.34844,1.36437,1.34774,1.36363,1084804.5754745
2014-02-10 00:00,1.36168,1.37149,1.35624,1.36939,920824.854836255
2014-02-17 00:00,1.37089,1.37733,1.36858,1.37403,715054.383537628
2014-02-24 00:00,1.37376,1.3825,1.36433,1.38037,731792.203503743
2014-03-03 00:00,1.3762,1.39152,1.37077,1.3879,680893.823646106
2014-03-10 00:00,1.38766,1.3967,1.3834,1.39154,732589.043484002
2014-03-17 00:00,1.39137,1.39478,1.37495,1.37947,686991.853471838
2014-03-24 00:00,1.37997,1.38761,1.37051,1.37518,739792.193562694
2014-03-31 00:00,1.37626,1.38204,1.3673,1.3705,599352.0434101
2014-04-07 00:00,1.36994,1.39059,1.36966,1.3886,644507.873652659
2014-04-14 00:00,1.38446,1.38646,1.37907,1.38165,520737.742593452
2014-04-21 00:00,1.38169,1.3855,1.37852,1.38351,522963.292459741
2014-04-28 00:00,1.38469,1.38893,1.37762,1.38745,813706.323403209
2014-05-05 00:00,1.38868,1.39936,1.37453,1.37587,911912.773818389
2014-05-12 00:00,1.37539,1.3775,1.36486,1.36946,895077.544118337
2014-05-19 00:00,1.36933,1.37344,1.36158,1.36344,841918.333427541
2014-05-26 00:00,1.36239,1.36688,1.35865,1.36351,755219.802606411
2014-06-02 00:00,1.36382,1.36768,1.35032,1.36445,974853.402654134
2014-06-09 00:00,1.36485,1.36691,1.35125,1.35411,973935.841976151
2014-06-16 00:00,1.35434,1.36435,1.35132,1.36007,999776.913424857
2014-06-23 00:00,1.35912,1.36514,1.35742,1.36508,1404957.41204172
2014-06-30 00:00,1.36448,1.37007,1.35857,1.3595,1315268.76091998
2014-07-07 00:00,1.35958,1.36509,1.35761,1.36093,1517602.15141505
2014-07-14 00:00,1.36009,1.36404,1.34912,1.35263,694572.511507571
2014-07-21 00:00,1.35291,1.35492,1.34216,1.34309,600019.001482457
2014-07-28 00:00,1.34318,1.34449,1.3367,1.34303,651613.671392262
2014-08-04 00:00,1.3432,1.34334,1.33332,1.34098,722980.942035146
2014-08-11 00:00,1.34115,1.34153,1.33362,1.34,644440.732237451
2014-08-18 00:00,1.3393,1.33993,1.32209,1.32446,672635.991703026
2014-08-25 00:00,1.31974,1.3221,1.3133,1.31331,729257.732381456
2014-09-01 00:00,1.31299,1.31602,1.29205,1.29522,833861.478927597
2014-09-08 00:00,1.29584,1.29796,1.28596,1.29643,1034943.05823006
2014-09-15 00:00,1.2974,1.29952,1.28288,1.28301,963197.04825604
2014-09-22 00:00,1.28349,1.29014,1.2677,1.26838,843660.948471159
2014-09-29 00:00,1.26848,1.2715,1.25008,1.25158,1004600.44827311
2014-10-06 00:00,1.25149,1.27917,1.25092,1.26304,1084097.96740776
2014-10-13 00:00,1.26322,1.28871,1.26211,1.27615,1109157.52717192
2014-10-20 00:00,1.27573,1.28404,1.2614,1.26716,895415.618421853
2014-10-27 00:00,1.26786,1.27707,1.24862,1.25271,968611.268065907
2014-11-03 00:00,1.25099,1.25776,1.23583,1.24565,1095537.07919753
2014-11-10 00:00,1.24739,1.25465,1.23946,1.25269,968068.828573614
2014-11-17 00:00,1.25325,1.25995,1.23751,1.23947,1027269.76793697
2014-11-24 00:00,1.23641,1.25318,1.23633,1.24543,719977.028590791
2014-12-01 00:00,1.2464,1.25068,1.22711,1.22842,895572.358908109
2014-12-08 00:00,1.229,1.24955,1.22473,1.24636,910847.647821218
2014-12-15 00:00,1.24758,1.257,1.22204,1.22303,921675.529108442
2014-12-22 00:00,1.22243,1.22729,1.2165,1.21819,352060.239750117
2014-12-29 00:00,1.21848,1.22215,1.2001,1.20032,404308.289404206
2015-01-05 00:00,1.1951,1.19766,1.17545,1.18425,828074.8590542
2015-01-12 00:00,1.18511,1.18711,1.14602,1.1565,1080676.84882361
2015-01-19 00:00,1.15548,1.16803,1.11148,1.1206,886493.908071056
2015-01-26 00:00,1.11545,1.14229,1.10983,1.12898,906384.768119782
2015-02-02 00:00,1.13145,1.15341,1.12927,1.13168,821394.028085858
2015-02-09 00:00,1.1298,1.14431,1.12705,1.13956,768214.598330192
2015-02-16 00:00,1.14039,1.14503,1.12793,1.13843,712480.119421907
2015-02-23 00:00,1.1397,1.13979,1.1176,1.11994,775978.709719039
2015-03-02 00:00,1.11826,1.12407,1.08407,1.08458,765883.08950261
2015-03-09 00:00,1.08308,1.09066,1.04626,1.04982,1090542.30860226
2015-03-16 00:00,1.04713,1.10425,1.04707,1.08235,983168.539591677
2015-03-23 00:00,1.08421,1.10526,1.07678,1.08928,1158645.8994912
2015-03-30 00:00,1.08873,1.10274,1.07133,1.09767,863860.409968123
2015-04-06 00:00,1.10084,1.10359,1.05681,1.06053,903179.109282129
2015-04-13 00:00,1.0589,1.08491,1.05207,1.08095,1099555.41864275
2015-04-20 00:00,1.0823,1.09002,1.066,1.08767,1114033.53706546
